Source resource ID,_id,associatedMedia._id,associatedMedia.assetID,associatedMedia.category,associatedMedia.created,associatedMedia.creator,associatedMedia.identifier,associatedMedia.license,associatedMedia.mime,associatedMedia.modified,associatedMedia.rightsHolder,associatedMedia.title,associatedMedia.type,associatedMediaCount,basisOfRecord,catalogNumber,catalogueDescription,chronostratigraphy,class,collectionCode,continent,country,created,decimalLatitude,decimalLongitude,determinationNames,donorName,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,family,gbifID,gbifIssue,genus,higherClassification,higherGeography,identificationQualifier,institutionCode,kingdom,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,locality,modified,occurrenceID,order,otherCatalogNumbers,phylum,recordedBy,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subDepartment,verbatimLatitude,verbatimLongitude,year
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840538,193268,e03e84ddb65ee960472353d0889366df11c5962c,Specimen,1382631603000,Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/e03e84ddb65ee960472353d0889366df11c5962c/contents/preview,http://creativecommons.org/licenses/by/4.0/,jpeg,1455543270000,"The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4109_1_M_1,StillImage,1,Specimen,PA EM 4109,"Hand. Right triquetal. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382093141000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428244,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507966000,290d7eba-d868-44a3-a288-ec6d235c2789,Primates,NHMUK:ecatalogue:2840538,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840536,193263,e2ef5193ff851c5bc340e46ff273db18dc375e58,Specimen,1382631311000,Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/e2ef5193ff851c5bc340e46ff273db18dc375e58/contents/preview,http://creativecommons.org/licenses/by/4.0/,jpeg,1455543269000,"The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4108_1_M_1,StillImage,1,Specimen,PA EM 4108,"Hand. Intermediate phalange. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382093053000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428246,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507966000,f7875a1b-5004-4c9c-9f51-bbf8f161c2a9,Primates,NHMUK:ecatalogue:2840536,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840513,193199 | 193201,1a9b680c903c1d21a5bfc3270c242e224eda918d | 2a7fd47eb521132f0bd6f9252adb5f559092fb29,Specimen | Specimen,1382627643000 | 1382627715000,Gabrielle Delbarre | Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/1a9b680c903c1d21a5bfc3270c242e224eda918d/contents/preview | https://www.nhm.ac.uk/services/media-store/asset/2a7fd47eb521132f0bd6f9252adb5f559092fb29/contents/preview,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1455543269000 | 1455543269000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4101_1_M_1 | NHM-UK_PA_EM 4101_2_M_1,StillImage | StillImage,2,Specimen,PA EM 4101,"Vertebra. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382088319000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428239,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507966000,c0178281-e65f-48b4-bc37-f3d0f575a416,Primates,NHMUK:ecatalogue:2840513,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840501,193166,0832dea92be5d91cc3d63c58f789433e21c7c16b,Specimen,1382625809000,Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/0832dea92be5d91cc3d63c58f789433e21c7c16b/contents/preview,http://creativecommons.org/licenses/by/4.0/,jpeg,1455543269000,"The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4096_1_M_1,StillImage,1,Specimen,PA EM 4096,"Hyoid fragment. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382087119000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428238,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507965000,ccb51960-8439-4c0d-9b99-96964f6e2a90,Primates,NHMUK:ecatalogue:2840501,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2827366,,,,,,,,,,,,,,Specimen,PA EM 3977,Cast. Display support for PA EM 527,"Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1380026554000,44.033,1.567,"Homo sapiens Linnaeus, 1758",,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428228,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507954000,bc535f9e-e688-4855-a5ec-ff6e0ae68266,Primates,NHMUK:ecatalogue:2827366,Chordata,,,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2817557,184991 | 184992,1b6d2d99f308249ae954b064da7b9ed14a92a943 | d6909a1c55fe6ad9219162012af67cf1f4b115f6,Specimen | Specimen,1382110619000 | 1382110829000,Gabrielle Delbarre | Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/1b6d2d99f308249ae954b064da7b9ed14a92a943/contents/preview | https://www.nhm.ac.uk/services/media-store/asset/d6909a1c55fe6ad9219162012af67cf1f4b115f6/contents/preview,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1455543270000 | 1455543270000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHM-UK_PA_EM3973_1_M_1 | NHM-UK_PA_EM3973_2_M_1,StillImage | StillImage,2,Specimen,PA EM 3973,"Skull fragment. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1377874870000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428225,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Adult,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507954000,68cf2423-5468-465b-9ad7-9508090ae2b0,Primates,NHMUK:ecatalogue:2817557,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2845773,,,,,,,,,,,,,,Specimen,PA EM 4131,"Postcrania. Rib. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383303570000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428269,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507968000,a14b32f4-525d-40ac-9f8c-1a3271817b2c,Primates,NHMUK:ecatalogue:2845773,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2845736,,,,,,,,,,,,,,Specimen,PA EM 4129,"Postcrania. Rib. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383303488000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428263,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507968000,ccdfb896-3edf-49d8-b826-55d924f2719a,Primates,NHMUK:ecatalogue:2845736,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2665232,,,,,,,,,,,,,,Specimen,PA EM 3821,"Skull. Homo sapiens. Chatelperron, Allier, France. Upper Palaeolithic","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1360060847000,,,"Homo sapiens Linnaeus, 1758",Wellcome Trust,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428097,,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Auvergne; Allier,"DOI: http://dx.doi.org/10.1017/S0261340900009899 (About DOI), Published online: 19 July 2011",NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Chatelperron, Grotte des Fées Chatelperron. Allier, France",1541507942000,b7117fc7-8e36-438c-b349-c4f1ae793b6f,Primates,NHMUK:ecatalogue:2665232,Chordata,,,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Auvergne,Anthropology,,,
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2014955,,,,,,,,,,,,,,Specimen,PA EM 239,,"Quaternary, Pleistocene",,PAL,Europe,France,855100800000,44.933,1.017,Homo sapiens | Homo sapiens,Department of Zoology,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,1056979663,GEODETIC_DATUM_ASSUMED_WGS84,,,Europe; France; Aquitaine; Dordogne,,NHMUK,,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Les Eyzies de Tayac, Rock-shelter Cro-Magnon",1530800351000,ea511c32-4f20-4a00-97b5-eceed0f6a532,,NHMUK:ecatalogue:2014955,,,,,,,,Aquitaine,Anthropology,44 56 00 N,001 01 00 E,
